hotel_name,address,dis_to_center_km,closest_metro_station,dis_to_closest_station_m,walk_time_to_closest_station_min,rating,stars
Апартаменты На Мичуринском,"Москва, пр. Мичуринский, д. 34",9.8,Раменки,76.0,1,8.9,3
Отель Moscow Point-Red October,"Москва, Берсеневский пер., д. 3/10, стр. 8",1.5,Кропоткинская,628.0,8,9.4,3
"Отель
								Гестен","Москва, над. Садовническая, д. 17",1.1,Новокузнецкая,425.0,5,9.1,3
Гостиница Apple Dream Hotel,"Москва, ул. Валовая, д. 32/75 стр. 1",2.6,Добрынинская,292.0,4,9.1,2
Отель Лафаетт,"Москва, Улица Тверская, 12/9",1.3,Тверская,174.0,2,8.3,2
Гостевой дом Пафос на Лубянке,"Москва, Варсонофьевский пер., д. 8",1.1,Кузнецкий Мост,235.0,3,7.9,nan
Отель Меркюр Арбат Москва,"Москва, Смоленская площадь 6",2.3,Смоленская,100.0,1,9.3,4
Мини-отель Базис-М,"Москва, Чистопрудный б-р, д. 11, стр. 1",1.8,Чистые Пруды,428.0,5,9.1,nan
Отель Barin Residence Grand,"Москва, пер. Милютинский, д. 2",1.2,Лубянка,393.0,5,9.3,4
Апартаменты На Автозаводской,"Москва, ул. Автозаводская, д. 19к1",5.9,Автозаводская,394.0,5,8.7,3
Бутик отель Печора,"Москва, Volokolamskoe Shosse 62",12.1,Щукинская,941.0,11,nan,3
Гостиница Gregory,"Москва, ул. Бауманская, д. 58/3, стр. 5",3.9,Бауманская,534.0,6,9.4,4
Апарт-отель YE'S Botanica,"Москва, 18 улица 1-я Леонова",10.2,Ботанический Сад,108.0,1,9.6,3
Гостиница Shelter-Hotels ВДНХ,"Москва, пр-т Мира, д. 184, стр. 1",8.5,ВДНХ,844.0,10,9.3,nan
Лубянка Арт Отель,"Москва, Армянский пер., д. 3-5, стр. 1",1.3,Чистые Пруды,481.0,6,8.5,3
Гостиница Часы Лескова,"Москва, ул. Лескова, д. 22",15.8,Бибирево,1400.0,17,8.3,3
Апарт-отель Ye's Mitino,"Москва, ул. Митинская, д. 16",18.3,Волоколамская,844.0,10,8.1,nan
Отель Tesla,"Москва, пер. Последний, д. 18",1.9,Сухаревская,360.0,4,nan,3
Отель Оскар,"Москва, Холодильный переулок 3, корп 1, стр 8",5.0,Тульская,380.0,5,8.7,3
Хостел Астра на Басманной,"Москва, ул. Новая Басманная, д. 13/2, стр. 1",3.0,Красные Ворота,554.0,7,8.9,nan
Park Tower,"Москва, Дмитровское ш., д. 27",8.6,Тимирязевская,854.0,10,9.6,4
Отель Север-Сити,"Москва, ул. Паршина, д. 16",11.3,Щукинская,2300.0,28,9.3,3
Хостел Крыша,"Москва, Большой Златоустинский пер., д. 7",1.0,Китай,225.0,3,8.5,nan
Апарт-отель Axis Moscow,"Москва, ул. Арбат, д. 11",1.4,Арбатская,255.0,3,9.6,nan
Мини-отель Покровский,"Москва, ulitsa Svobody 1, korpus 1",13.1,Тушинская,923.0,11,9.4,2
Бутик-Отель Мастер Арбат,"Москва, пер. Сивцев Вражек, д. 45, стр. 1",2.3,Смоленская,398.0,5,9.4,4
Отель Покровка 6,"Москва, Ulitsa Pokrovka 6",1.5,Чистые Пруды,707.0,9,9.8,3
Гостиница Дэтоль,"Москва, ул. Большая Филевская, д. 51, корп. 3",9.4,Пионерская,526.0,6,9.4,3
Гостиница Часы Братеевская,"Москва, ул. Братеевская, д. 10, корп. 4",16.3,Алма,380.0,5,8.3,3
Хостел Есенин,"Москва, ул. Краснопрудная, д. 28",4.2,Красносельская,126.0,2,9.4,nan
Отель Chez Michel,"Москва, 13 Krasnaya Presnya Street, 5 floor",3.2,Краснопресненская,414.0,5,9.4,3
Гостиница Старая Москва,"Москва, ул. Маросейка, д. 13, стр. 2",1.2,Китай,380.0,5,9.3,3
Eden Hotel,"Москва, ул. Солянка, д. 1/2, стр. 1",1.1,Китай,537.0,6,9.6,3
Мини-отель Южный порт,"Москва, 2-й Южнопортовый пр-д, д. 5/1",7.0,Кожуховская,716.0,9,9.4,3
Апартаменты Tverskaya Apartment,"Москва, ул. 1-я Тверская-Ямская, д. 25 стр. 2",3.3,Белорусская,309.0,4,nan,nan
Отель Берси Арбат Отель,"Москва, ул. Новый Арбат, д. 16",1.8,Арбатская,639.0,8,7.4,2
Мини-отель Хамовники,"Москва, 15 Комсомольский Проспект, строение 2",3.4,Фрунзенская,521.0,6,9.4,2
Отель Чемодановъ,"Москва, Покровка, 2/1 строение 1",1.3,Китай,544.0,7,9.4,4
Гостиница Феликс,"Москва, ул. Петровка, д.19, стр.3",1.3,Чеховская,460.0,6,8.7,4
Гостиница Часы Белорусская,"Москва, ул. Грузинский Вал, д. 26, стр. 2",3.2,Белорусская,395.0,5,8.5,3
Хостел Сон в кубе,"Москва, ул. Долгоруковская, д. 40",3.0,Новослободская,90.0,1,8.7,nan
Отель Везендорф-Таганка,"Москва, ул. Абельмановская, д. 9, стр. 1",3.8,Пролетарская,499.0,6,8.9,3
Гостиница Набат Палас Арбат,"Москва, ул. Старый Арбат, д. 28/1, стр. 2",1.9,Смоленская,543.0,7,8.9,4
Отель Saint Yard Arbat,"Москва, 22 Novinskiy bulvar",2.2,Баррикадная,515.0,6,8.3,4
Гостевой дом Дар,"Москва, СНТ Дары природы, д. 352",17.0,Румянцево,1900.0,23,nan,nan
Гостиница Тверская 5,"Москва, ул. Тверская, д. 5/6",0.7,Охотный Ряд,175.0,2,9.4,3
Гостиница МосУз центр,"109377, г.Москва, ул. Зеленодольская, д. 3, стр. 2",11.5,Рязанский Проспект,283.0,3,9.1,3
Апарт-отель Axis Moscow Colors,"Москва, б-р Цветной, д. 25, с. 1",2.1,Московский Цветной бульвар,145.0,2,9.6,3
Апарт-отель Линд,"Москва, пр. Ленинградский, д. 26/1",4.4,Белорусская,859.0,10,9.3,3
Мини-отель Птица-Синица,Малый Гнездниковский переулок 9с2,1.3,Тверская,234.0,3,9.8,3
Парадис Отель на Чистых Прудах,"Москва, 6 ulitsa Chaplygina",2.0,Чистые Пруды,478.0,6,8.5,3
Гостиница Фрегат на Павелецкой,"Москва, Большой Строченовский переулок 4, строение 1",2.7,Павелецкая,442.0,5,8.9,nan
Мини-отель Оранжевый Рай,"Москва, ул. Нижние Поля, д. 31, стр.1",12.8,Марьино,1300.0,15,8.5,2
Бутик-Отель 7 слонов,"Москва, ул. Маросейка, д. 7/8с1",0.9,Китай,136.0,2,9.3,3
Мини-отель Апельсин Экспо на Красной пресне,"Москва, ул. Сергея Макеева, д. 8",4.4,Улица,1905.0,8,7.0,3
Винтерфелл на Новокузнецкой,"Москва, Озерковская наб., д. 8с1",1.7,Новокузнецкая,470.0,6,9.3,nan
Отель Ситикомфорт на Арбатской,"Москва, Средний Кисловский пер., д. 3,стр. 1А",1.0,Арбатская,413.0,5,8.5,3
Хостел Hotelhot на Белорусском вокзале,"Москва, ул. Лесная, д. 55, стр. 5",3.6,Менделеевская,406.0,5,7.4,nan
Гостиница Веллион Водный,"Москва, Головинское ш., д. 8",12.4,Водный Стадион,396.0,5,9.3,nan
Хостел Mila Guest House,"Москва, Большой Каретный пер., д. 8, стр. 1",1.9,Московский Цветной бульвар,254.0,3,8.9,nan
Гостиница Елисеефф,"Москва, Глазовский пер., д. 10, стр. 1",2.4,Смоленская,598.0,7,8.9,3
Мини-отель На Мукомольном,"Москва, Мукомольный проезд, д. 7, стр. 1",6.0,Шелепиха,331.0,4,9.3,nan
Мини-отель Риверсайд Коломенское,"Москва, Нагатинская наб., д. 46",8.3,Технопарк,1100.0,14,9.1,nan
Отель Радио,"Москва, ул. Радио, д. 14, стр. 1",3.8,Бауманская,1100.0,13,9.6,4
Хостел Travel Inn Тимирязевская,"Москва, ул. Ивановская, д. 23",8.3,Тимирязевская,543.0,7,7.9,nan
Гостиница Славянка Москва,"Москва, Суворовская площадь 2/3",3.0,Достоевская,311.0,4,8.9,3
Отель Минима Китай-Город,"Москва, пр. Лубянский, д. 25, стр. 1",0.9,Китай,315.0,4,8.7,3
Хостелы Рус Юго-Западная,"Москва, ул. Академика Анохина, д. 5, стр. 2",13.7,Юго,574.0,7,8.9,nan
Отель Фили Хаус,"Москва, ул. Тучковская, д. 11, корп. 2",7.0,Фили,408.0,5,9.4,3
Мини-отель Зеленый,"Москва, ул. Большая Черемушкинская, д. 32, к. 2",8.5,Академическая,961.0,12,9.1,3
Апартаменты В 46-этажном Небоскребе с видом на Останкинскую башню,"Москва, ул. Новодмитровская, д. 2к5",5.8,Дмитровская,769.0,9,9.8,nan
Отель Содерис Резиденс & СПА,"Москва, 2-я Бородинская улица, д. 20",3.3,Киевская,653.0,8,9.6,4
Бизнес-отель Алексеевский,"Москва, ул. Новоалексеевская, д. 20а, стр. 1",6.6,Алексеевская,896.0,11,8.1,3
Мини-отель Дом ветеранов кино,"Москва, ул. Нежинская, д. 5",10.0,Славянский бульвар,1600.0,19,8.3,nan
Мини-отель Amarena,"Москва, Ulitsa Akademika Millionshchikova 31А",10.3,Каширская,818.0,10,9.4,3
Гостиница День и ночь на Профсоюзной,"Москва, пр. Нахимовский, д. 63, корп. 2",9.2,Профсоюзная,356.0,4,9.4,nan
Гостиница Александрия-Внуково,"Москва, СНТ Верхнее Акатово, д. 18",24.2,Рассказовка,2800.0,33,9.3,3
Мини-отель Loft Hotel H11,"Москва, Хохловский пер., д. 11, стр., 1",1.5,Китай,772.0,9,9.1,2
Отель Seven Hills на Брестской,"Москва, Улица 1-ая Брестская, 44",3.0,Белорусская,586.0,7,9.1,3
Апарт-отель Эколайнер,"Москва, б-р. Ходынский, д. 22, эт. 11",7.4,ЦСКА,850.0,10,9.4,3
Отель Акварель,"Москва, Stoleshnikov Pereulok 12 bld 3",1.0,Театральная,457.0,6,9.6,4
Отель Ретро Москва Арбат,"Москва, Трубниковский пер., д. 24, стр. 1",2.1,Смоленская,670.0,8,8.5,nan
Отель Гостеприимный дом Ботанический,"Москва, Лазоревый проезд, д. 12",10.8,Ботанический Сад,760.0,9,8.9,2
Апарт-отель Измайловский парк,"Москва, ул. Щербаковская, д. 57А",8.3,Измайлово,680.0,8,9.4,3
Хостел Милан на Павелецкой,"Москва, ул. Дубининская, д. 11/17, стр. 2",3.1,Павелецкая,382.0,5,8.9,nan
Отель Фортис Москва Дубровка,"Москва, ул. Шарикоподшипниковская, д. 11, стр. 7",5.2,Дубровка,187.0,2,9.4,3
1 АРТ ОТЕЛЬ,"Москва, ул. Староалексеевская, д. 20",6.5,Алексеевская,388.0,5,9.8,4
Отель Максима Заря,"Москва, ул. Гостиничная, д. 4, корп.9",10.3,Владыкино,811.0,10,9.3,3
Отель Домашний,"Жулебино, Жулебинский б-р, д. 15",15.9,Лермонтовский проспект,614.0,7,7.8,nan
Гостиница KristInn,"Москва, 1-ый пр-д Перова Поля, д. 9, стр. 1",9.4,Перово,1100.0,14,8.9,3
Гостиница Комфорт Класс,"Москва, ул. Часовая, д. 11",8.3,Аэропорт,859.0,10,9.1,4
Хостел Eger177,"Москва, ул. Егерская, д. 1",5.9,Сокольники,447.0,5,9.1,nan
Отель Елоховский Сити,"Москва, ул. Спартаковская, д. 24",4.2,Бауманская,116.0,1,9.3,3
Отель Отдых-5,"Москва, ул. Краснодарская, д. 15/17",11.6,Люблино,962.0,12,7.2,1
Гостиница Покровское-Стрешнево,"Москва, Волоколамское ш., д. 30, стр. 1, а/я 44",11.0,Стрешнево,508.0,6,8.9,3
Отель La Scala Narodnaya,"Москва, ул. Народная, д. 14, стр. 1",2.6,Таганская,264.0,3,8.7,3
Гостиница Крон-Отель,"Москва, Ленинградское ш., д. 61, стр. 4",15.1,Речной Вокзал,724.0,9,8.7,3
Отель Брайтон,"Москва, Петровско-Разумовский пр-д, д. 29",6.7,Петровский парк,1400.0,16,9.4,4
Гостиница Часы Бунинская Аллея,"Москва, ул. Адмирала Лазарева, д. 47, корп. 1",24.6,Бунинская Аллея,319.0,4,7.4,3
Мини-Отель Солотель,"Москва, Тверская Улица 12 строение 2",1.3,Тверская,178.0,2,8.5,2
Отель Кауфман,"Москва, Посланников пер., д. 9, стр. 5",4.4,Бауманская,309.0,4,8.7,3
D'отель на Тверской,"Москва, ул. Тверская, д. 5/6",0.7,Охотный Ряд,177.0,2,8.7,3
Гостиница Barin Residence Centre,"Москва, ул. Садовническая, д. 8",0.8,Новокузнецкая,593.0,7,9.8,4
Гостиница Реакомп,"Москва, Протопоповский переулок 9 строение 1",3.2,Проспект Мира,301.0,4,8.3,3
Отель Капучино,"Москва, пер. Электрический, д. 3/10, ст. 1",3.5,Белорусская,673.0,8,8.7,3
Гостиница Коломенское,"Москва, ул. Большая, д. 84/3",9.4,Коломенская,485.0,6,9.3,3
Отель Апельсин на Юго-Западной,"Москва, пр. Вернадского, д. 105, корп. 2",13.1,Юго,306.0,4,9.1,2
Гостиница Соколиная гора,"Москва, 3-я ул. Соколиной Горы, д. 19",7.7,Шоссе Энтузиастов,795.0,10,9.3,2
Отель Norke Prime Kitay-gorod,"Москва, пер. Подколокольный, д. 4/7",1.3,Китай,796.0,10,8.7,4
Мини-отель Линдсей,"Москва, Ленинградский проспект, 26/1",4.4,Белорусская,876.0,11,9.3,nan
Гостиница Бригантина,"Москва, ул. Академика Скрябина, д. 8, корп. 3",11.8,Рязанский Проспект,405.0,5,8.7,3
Гостиница Митино,"Москва, Пятницкое ш., д. 18",17.9,Волоколамская,798.0,10,8.7,3
Хостел Арбат 42,"Москва, ул. Арбат, д. 42, стр. 4",2.1,Смоленская,294.0,4,9.1,nan
Гостевой дом С.С.С.Р.,"Москва, ул. Кубанская, д. 12, стр. 2",10.9,Волжская,1200.0,15,8.9,nan
Хостелы Рус-Авиатор,"Москва, ул. Ольховская, д. 14, стр. 5",3.9,Красносельская,589.0,7,9.1,nan
Хостел Олимпия,"Москва, ул. Дмитрия Ульянова, д. 24/1",8.0,Академическая,173.0,2,9.3,nan
Гостиница Федорова,"Москва, Бескудниковский б-р, д. 58к1",14.5,Селигерская,1200.0,14,9.1,2
Гостиница Винтерфелл на Бауманской,"Москва, ул. Малая почтовая, д. 2/2",4.5,Бауманская,511.0,6,8.9,nan
Отель Першерон,"Москва, 3-й Красносельский пер., д. 5",4.2,Красносельская,663.0,8,nan,2
Мини-отель Буше на Чистопрудном бульваре,"Москва, б-р Чистопрудный, д. 21, стр. 1",1.8,Чистые Пруды,655.0,8,8.9,2
Отель Кирпич,"Москва, ул. Лесная, д. 55",3.6,Менделеевская,359.0,4,9.4,3
Гостиница Рослеспром,"Москва, Варшавское ш., д. 145, корп. 8",19.5,Аннино,650.0,8,8.1,3
Гостиница Озерковская,"Москва, Озерковская Набережная, д. 50/2",2.4,Павелецкая,422.0,5,9.1,3
"Отель Арбат, 6","Москва, ул. Арбат, д. 6, стр. 2",1.4,Арбатская,260.0,3,9.4,4
Коливинг Запятая,"Москва, пл. Спартаковская, д. 16/15, стр. 1",4.6,Бауманская,497.0,6,9.3,nan
Гостиница СК Роял,"Москва, Дмитровское ш., д. 163а, к. 2",18.2,Алтуфьево,3200.0,38,9.3,4
Мини-отель Сокол,"Москва, ш. Волоколамское, д. 3",9.5,Сокол,850.0,10,8.3,3
Хостел Гагаринский,"Москва, ул. Вавилова, д. 13/7",6.0,Площадь Гагарина,407.0,5,7.0,nan
Отель Bulgakov Residence,"Москва, Большой Палашевский пер., д. 9/2",1.8,Пушкинская,334.0,4,9.4,nan
Отель Отдых-2,"Москва, ул. Совхозная, д. 27",12.4,Люблино,696.0,8,7.8,1
Отель Вояж Парк,"Москва, ул. Крылатская, д. 12, корп. 4",11.4,Крылатское,2200.0,26,8.9,2
Хостел Travel Inn Красные Ворота,"Москва, ул. Новая Басманная, д. 10, стр. 1",2.9,Красные Ворота,429.0,5,8.3,nan
Отель Волынское,"Москва, Улица Староволынская 9",9.4,Минская,1100.0,13,9.3,4
Отель Винтерфелл на Павелецкой,"Москва, ул. Дербеневская , д. 5а",3.8,Крестьянская застава,1200.0,14,9.3,nan
Отель Тайм 2,"Москва, ул. Ставропольская, д. 14",11.4,Люблино,1000.0,12,7.9,nan
Хостел ALL MUSIC Hostel №1 Маяковская,"Москва, ул. Садовая-Триумфальная, д. 12/14",2.3,Маяковская,362.0,4,9.4,nan
Хостел Рус Полежаевская,"Москва, ш. Хорошевское, д. 72, к. 1",6.6,Полежаевская,455.0,5,8.3,nan
Хостел Russland,"Москва, ул. Образцова, д. 14/Октябрьский пер., д. 23",3.9,Марьина Роща,723.0,9,8.5,nan
Отель Norke КРАСНОСЕЛЬСКАЯ,"Москва, ул. Краснопрудная, д. 24, корп. 2",4.0,Красносельская,136.0,2,8.9,3
Отель на Окской,"Москва, ул. Окская, д. 5, корп. 1",9.7,Кузьминки,1100.0,13,9.1,3
Отель Медея,"Москва, Пятницкий пер., д. 4, стр. 1",1.3,Новокузнецкая,84.0,1,9.3,3
Мини-отель Shelter-Hotels Ленинский проспект,"Москва, 30 Leninskiy Prospekt",5.3,Ленинский Проспект,294.0,4,9.3,nan
Гостиница Апельсин на Комсомольской,"Москва, ул. Краснопрудная, д. 22а",3.9,Красносельская,244.0,3,8.3,3
Хостел Никитская капсула,"Москва, ул. Большая Никитская, д. 22/2",1.1,Арбатская,564.0,7,9.4,nan
Апарт-отель Волга,"Москва, ул. Большая Спасская, д. 4",2.7,Сухаревская,601.0,7,9.1,3
Мини-отель МАК,"Москва, ул. Кантемировская, д. 17, корп. 1",13.4,Кантемировская,939.0,11,8.1,nan
Гостиница Измайлово Дельта - Твой Отель,"Москва, ш. Измайловское, д. 71, корп. 4 Г-Д",9.1,Партизанская,411.0,5,9.1,4
Отель AFFONYKATE,"Москва, пр. Мира, д. 105, стр. 1",7.1,ВДНХ,715.0,9,9.6,3
Апарт-отель Page 20,"Москва, ул. Новый Арбат, д. 15",1.7,Арбатская,566.0,7,9.4,4
Хостел Пара Тапок,"Москва, Оружейный пер., д. 13, стр. 2",2.4,Маяковская,357.0,4,9.3,nan
Гостиница Старый город (Home Hotel),"Москва, ул. Большая Дмитровка, д. 8/5",0.9,Театральная,253.0,3,9.1,3
Апарт-отель На Ходынке,"Москва, Ходынский б-р, д. 20а, Сектор Г, 8 этаж",7.3,ЦСКА,784.0,9,8.9,3
Отель Палермо,"Москва, Ulitsa Chistova 19",10.2,Волжская,872.0,11,9.6,3
Отель Ристория,"Москва, пр. Пролетарский, д. 45",13.9,Кантемировская,660.0,8,8.7,3
Отель Barin Residence Myasnitskaya,"Москва, Milyutinskiy Pereulok дом 2, корпус 9",1.2,Лубянка,378.0,5,9.4,4
Хостел Рус-Нахимовский проспект,"Москва, пр. Нахимовский, д. 7, к.1",10.1,Нахимовский Проспект,456.0,5,9.1,nan
Гостиница Минима Кузьминки,"Москва, пр. Волгоградский, д. 113, корп. 5",10.2,Кузьминки,459.0,6,9.3,2
Апарт-отель Наумов на Лубянке,"Москва, ул. Малая Лубянка, д. 16",1.4,Тургеневская,363.0,4,8.9,3
Гостевой дом Magic circus,"Москва, Цветной б-р, д. 25",2.1,Московский Цветной бульвар,145.0,2,9.8,nan
Гостиница Симонов Парк,"Москва, ул. Восточная, д. 10",5.2,Автозаводская,627.0,8,9.3,3
Отель Скайвью Таганка,"Москва, Тетеринский пер, д. 12с4",2.2,Марксистская,499.0,6,8.3,3
Мини-отель Выставка,"Москва, ул. 2-я Черногрязская, д. 10",4.6,Улица,1905.0,11,8.7,nan
Отель Orange House,"Москва, пр. Севастопольский, д. 7/8",7.1,Верхние Котлы,241.0,3,8.3,3
Отель Лондон,"Москва, ул. Ставропольская, д. 10/12",11.3,Люблино,1200.0,14,7.9,nan
Отель Хитровка,"Москва, Певческий пер., д. 4",1.4,Китай,866.0,10,9.1,4
Отель Винтерфелл на Арбате,"Москва, Трубниковский пер., д 24, стр. 1",2.1,Смоленская,670.0,8,8.7,nan
Отель Денисовский Дворик,"Москва, ул. Бауманская, д. 58/25, корп. 8",4.0,Бауманская,515.0,6,9.3,3
Отель Облака,"Москва, ул. Крутицкий Вал, д. 8/22",3.8,Крестьянская застава,241.0,3,9.3,3
Хостел ICON,"Москва, Пресненская набережная 6 стр 2",5.0,Выставочная,261.0,3,9.3,nan
Отель Квадро,"Москва, ул Атарбекова, 4",7.2,Преображенская Площадь,432.0,5,9.8,1
Мини-отель ЭСКВАЙР,"Москва, б-р. Петровский, д. 15, стр. 1",1.6,Трубная,373.0,4,9.4,3
Гостиница Столичная,"Москва, ул. Новорязанская, д. 26, стр. 1",3.5,Комсомольская,747.0,9,9.3,2
Отель Веллион Сухаревский,"Москва, ул. Большая спасская, д. 13/1",2.6,Сухаревская,518.0,6,9.4,4
Мини-отель KIGO Park Legend,"Москва, 23 Avtozavodskaya Ulitsa Building 120/6 apt 9",5.9,ЗИЛ,536.0,6,9.4,3
Гостиница Грибоедов,"Москва, Измайловское шоссе, д.3А",7.0,Семеновская,362.0,4,8.5,3
Гостиница Q-block,"Москва, Большой Тишинский пер., д. 8, стр. 1",3.1,Баррикадная,941.0,11,9.3,3
Отель Максима Ирбис,"Москва, ул. Гостиничная, д. 1",10.1,Петровско,650.0,8,9.1,3
Апартаменты IQ,"Москва, Пресненская наб., д. 10 стр. 2",5.4,Международная,183.0,2,9.4,nan
Отель Gregory Urban,"Москва, ул. Бауманская, д. 58/3, стр. 5",3.9,Бауманская,530.0,6,9.4,nan
Гостиница Ретро Москва на Курской,"Москва, ул. Старая Басманная, д. 7, стр. 1",2.6,Красные Ворота,702.0,8,8.5,nan
Гостевой дом The Park,"Москва, ул. Остоженка, д. 42/2",2.4,Парк Культуры,175.0,2,8.9,nan
Отель Роял-Зенит II,"Москва, 1-ая Линия Хорошевского Серебряного Бора, д. 10",11.5,Щукинская,3000.0,36,9.4,4
Отель Малетон,"Москва, ул. Гарибальди, д. 36/3",10.2,Новые Черемушки,495.0,6,9.1,3
Гостиница Олимп,"Москва, ул. Доватора, д. 13",4.8,Спортивная,339.0,4,9.1,2
Отель Афиша Сити,"Москва, Юрловский пр-д, д. 14, корп. 1",13.8,Бибирево,820.0,10,8.9,nan
Хостел Light Dream на Златоустинском,"Москва, Большой Златоустинский пер., д. 3/5, стр. 1",1.0,Китай,299.0,4,9.1,nan
Отель Florinn,"Москва, ул. Тверская, д. 12с7",1.4,Тверская,159.0,2,9.1,3
Отель Сити Стар,"Москва, ул. 6-я Кожуховская, д. 3к2",6.0,Автозаводская,813.0,10,9.4,3
Отель Chekhoff Hotel Moscow Curio Collection By Hilton,"Москва, ул. Малая Дмитровка, д. 11",1.9,Чеховская,381.0,5,8.3,5
Гостиница Бонжур Бутово,"Москва, ул. Изюмская, д. 22",22.7,Улица Скобелевская,589.0,7,8.9,3
Хостел Cinema,"Москва, ул. Новая Басманная, д. 18/5",3.1,Красные Ворота,735.0,9,8.3,nan
Отель Novy Arbat Residence,"Москва, Прямой пер., д. 3, стр. 1",2.6,Смоленская,263.0,3,7.8,3
Мини-отель Дюжина,"Москва, ул. Трифоновская, 45",4.0,Марьина Роща,735.0,9,9.8,3
Гостиница Парус,"Москва, пос. Мосрентген, дер. Дудкино, д. 12/1",17.6,Румянцево,531.0,6,9.4,3
Отель Старая Можайка,"Москва, рп. Новоивановское, д. 93",16.2,Молодежная,4300.0,52,7.8,nan
Отель ОТДЫХ 10,"Москва, ул. Люблинская, д. 60",11.6,Люблино,1500.0,18,8.3,3
Отель Нагорный,"Москва, Электролитный пр-д 1Б",9.0,Нагорная,628.0,8,8.9,nan
Мини-отель Benvenuti,"Москва, пр. Волгоградский, д. 105",10.0,Кузьминки,741.0,9,9.3,2
Гостиница Мистер Жулебин,"Москва, ул. Привольная, д. 2, стр. 1",15.0,Лермонтовский проспект,755.0,9,9.3,3
Санаторий Переделкино,"Москва, ул. 6-я Лазенки, д. 2",18.7,Боровское шоссе,1900.0,22,9.1,nan
Отель Library,"Москва, 3-я Улица Yamskogo Polya 24",4.1,Белорусская,666.0,8,9.4,3
Гостиница Измайлово Дельта Sky Hotel Group,"Москва, Измайловское ш., д. 71, корп. 4г",9.1,Партизанская,377.0,5,9.4,4
Капсульный отель Dad&Cat,"Москва, пер. Электрический, д. 8, стр. 2",3.4,Белорусская,719.0,9,9.3,nan
Гостиница Винтерфелл на Чистых прудах,"Москва, ул. Мясницкая, д. 32, стр. 2",1.8,Чистые Пруды,93.0,1,9.3,nan
Отель Unique,"Москва, б-р Цветной, д. 13/2",1.9,Московский Цветной бульвар,175.0,2,9.8,nan
Хостел Cube,"Москва, б-р Новинский, д. 16, стр. 2",2.1,Смоленская,587.0,7,9.1,nan
Мини-отель Леон Спа,"Москва, Жулебинский Бульвар 36 кор 1",16.2,Жулебино,559.0,7,9.3,3
Отель Олива,"Москва, ул. Большая Серпуховская, д. 60",3.8,Серпуховская,790.0,10,9.3,2
Арт Отель & Хостел Каретный ряд,"Москва, Большой Каретный пер., д. 22, стр.4",2.1,Московский Цветной бульвар,266.0,3,8.7,nan
Хостел Travel Inn на Электрозаводской,"Москва, Попов проезд, д. 4",6.0,Электрозаводская,597.0,7,7.8,nan
Отель Библиотека,"Москва, ул. Воронцовская, д. 2/10, стр. 1",2.6,Марксистская,112.0,1,8.1,1
Отель Минима Красные Ворота,"Москва, ул. Садовая-Спасская, д. 19, стр. 3",2.5,Красные Ворота,157.0,2,8.9,3
Pyatnitskaya Hotel,"Москва, ул. Пятницкая, д. 3/4, стр. 1",1.0,Новокузнецкая,382.0,5,9.3,nan
