hotel_name,address,dis_to_center_km,closest_metro_station,dis_to_closest_station_m,walk_time_to_closest_station_min,rating,stars
Гостиница Измайловский,"Москва, ул. Верхняя Первомайская, д. 6, корп. 3",11.6,Первомайская,979.0,12,9.3,2
Хостел Littlehotel,"Москва, Malyy Kakovinskiy Pereulok 1/8с1",2.2,Смоленская,225.0,3,7.9,nan
Хостел Авиатор,"Москва, Энтузиастов ш., д. 26",6.3,Авиамоторная,184.0,2,8.7,1
Капсульный хостел Арбат 25,"Москва, ул. Арбат, д. 25/36",1.6,Арбатская,482.0,6,8.5,nan
Astro Hostel,"Москва, пер. 1-й Пехотный, д. 10",10.5,Стрешнево,1100.0,13,9.6,1
Отель Электрон,"Москва, пр. Андропова, д. 38, корп. 2",9.2,Коломенская,409.0,5,8.7,3
Гостиница Sultan INN,"Москва, Электрический пер., д. 3/10с1",3.5,Белорусская,654.0,8,9.1,4
Отель B.60,"Москва, ул. 1-я Брестская, д. 60",3.2,Белорусская,366.0,4,10.0,4
Хостел на Белорусской,"Новолесной пер, д 5",3.7,Менделеевская,631.0,8,7.0,nan
Хостел ArtCapsule,"Москва, ул. ​Николоямская, д. 52 ст.2",2.8,Марксистская,738.0,9,10.0,nan
Хостел Фортуна Инн,"Москва, Октябрьский переулок,12",3.8,Достоевская,687.0,8,8.7,nan
Гостиница Новый Восход,"Москва, Алтуфьевское ш., д. 2 к. 1",10.8,Владыкино,226.0,3,6.6,nan
Бутик-Отель Vertical Boutique BW Signature Collection,"Москва, ул. Малые Каменщики, д. 16",2.9,Таганская,402.0,5,9.1,4
Мини-отель Time.House,"Москва, пр-д Кутузовский, д. 6",6.2,Парк Победы,614.0,7,8.7,nan
Отель Нота,"Москва, Улица Перерва 68/35, 1 этаж",13.5,Люблино,1300.0,15,9.3,nan
Хостел Христал,"Москва, 11 Ulitsa Akademika Anokhina",14.1,Юго,895.0,11,8.7,nan
Отель Елоховский,"Москва, Спартаковская Улица 24",4.1,Бауманская,136.0,2,9.4,3
Легендарный отель Советский,"Москва, пр. Ленинградский, д. 32/2",4.7,Динамо,924.0,11,9.1,4
Отель Mia Milano,"Москва, Кутузовский пр-т, д. 30",5.3,Кутузовская,224.0,3,9.8,4
Отель Софи,"Москва, Рождественка 5/7 строение 2",0.8,Кузнецкий Мост,82.0,1,9.1,3
Отель Люблю-но,"Москва, Улица Краснодонская 24  стр.2",11.9,Люблино,868.0,10,9.1,nan
Мини-отель Ладомир в Филях,"Москва, Улица Василисы Кожиной 14 корпус 2",7.9,Багратионовская,703.0,8,8.7,nan
Мини-отель Aesthetics Room House,"Москва, ул. Доброслободская, д. 6, стр. 1",3.6,Бауманская,676.0,8,9.4,nan
Хостел Портал,"Москва, ул. Большая Пионерская, д. 13/6а, стр. 1",3.0,Павелецкая,349.0,4,7.6,nan
Хостел Слобода на Бауманской,"Москва, пер. Посланников, д. 18, стр. 1",4.4,Бауманская,380.0,5,8.9,nan
Гостиница Come Inn,"Москва, ул. Большая Татарская, д. 38, стр. 1",2.0,Новокузнецкая,641.0,8,9.8,3
Гостиница Moon,"Москва, б-р Марьинский, д. 7",14.4,Марьино,665.0,8,8.9,nan
Хостел iProspali,"Москва, 4-й Сыромятнический переулок, д.3/5 стр.5",2.9,Чкаловская,444.0,5,8.3,nan
Мини-отель Арчи на Тульской,"Москва, Варшавское шоссе 13",6.0,Тульская,1000.0,13,9.3,3
Гостиница Avia House,"Москва, СНТ Верхнее Акатово, д. 15",24.3,Рассказовка,2800.0,34,8.1,nan
Мини-отель Антик,"Москва, Улица Климашкина 9",3.3,Улица,1905.0,9,9.8,3
Мини-отель Мансилион,"Москва, ул Тверская, 12/8 вход 12А",1.3,Чеховская,210.0,3,9.4,3
Гостиница Братиславская 2,"Москва, ул. Братиславская, д. 12",13.4,Братиславская,197.0,2,9.3,nan
Гостиница Сокольники,"Москва, ул. Первая Боевская, д. 6",6.3,Сокольники,891.0,11,9.1,3
Гостиница Винтерфелл на Курской,"Москва, ул. Старая Басманная, д. 7/1",2.7,Красные Ворота,703.0,8,8.7,nan
Отель Ясенево,"Москва, Ulitsa Inessy Armand 8/17",18.8,Битцевский парк,1400.0,17,8.5,nan
Гостиница НИКОНОВКА,"Москва, Никоновский пер., д. 3/1",2.8,Достоевская,414.0,5,9.3,nan
Гостиница Измайлово (Фаворит) Sky Hotel Group,"Москва, Измайловское ш., д. 71, 3в",9.1,Партизанская,386.0,5,9.4,4
Отель Комфорт Москва,"Москва, Пятницкая Улица 22/2",1.4,Новокузнецкая,133.0,2,9.3,nan
Гостиница Братиславская,"Москва, ulitsa Bratislavskaya 15, korpus 1",13.6,Братиславская,598.0,7,8.1,nan
Мини-отель Фантазия,"Москва, Ulitsa Yunykh Lenintsev 73 Корпус 1",11.1,Кузьминки,624.0,8,9.3,2
Отель Мелтон,"Москва, ул. Барышиха, д. 40, корп. 1",20.5,Пятницкое шоссе,700.0,8,8.7,3
Serviced Apartments Belorusskaya,"Москва, Район Белорусской",2.8,Маяковская,603.0,7,nan,2
Хостел на Академика Анохина,"Москва, ул. Академика Анохина, д. 13",14.2,Юго,1000.0,12,8.9,nan
Мини-отель Фрателли,"Москва, ул. Тверская, д. 12, стр. 2",1.4,Тверская,134.0,2,9.3,3
Мини-отель Нахимовский,"Москва, ул. Новочеремушкинская, 38 к1",9.4,Профсоюзная,620.0,7,9.4,2
Апарт-отель Knokey Басманный,"Москва, Басманный пер., д. 5",3.1,Комсомольская,528.0,6,9.6,nan
Hotel Old Riga,"Москва, пл. Рижская, д. 1",4.4,Рижская,210.0,3,8.1,nan
Хостел VIP K8,"Москва, пр-т Волгоградский, д. 32, кор. 8, 1 эт.",5.4,Волгоградский Проспект,249.0,3,7.2,nan
Гостиница Апельсин на Тульской,"Москва, 4-й Верхний Михайловский пр-д, д. 6",5.2,Ленинский Проспект,1000.0,12,8.7,nan
Гостиница Абсалют Измайлово Бета,"Москва, Измайловское ш., д 71, стр. 8",9.1,Партизанская,400.0,5,9.1,3
РОС ОТЕЛЬ Измайлово,"Москва, ул. Верхняя Первомайская, д. 36, стр. 2",12.3,Первомайская,571.0,7,8.1,3
Хостел Милан,"Москва, Шубинский пер., д. 2/3",2.6,Смоленская,310.0,4,9.4,nan
Отель Винтерфелл На Цветном Бульваре,"Москва, ул. Садовая-Каретная, д. 24/7",2.2,Московский Цветной бульвар,598.0,7,8.5,nan
Общежитие гостиничного типа Hotelhot Красносельская,"Москва, ул. Ольховская, д. 47, стр. 2",4.4,Красносельская,593.0,7,6.4,nan
Мини-отель BookBox,"Москва, ул. 1-я Прядильная, д.5",10.9,Измайловская,773.0,9,8.9,nan
Хостел Али Баба,"Москва, ул. 1-я Пугачевская, д. 27",8.4,Измайлово,937.0,11,9.1,nan
Хостел Фьюжн,"Москва, ул. Дубининская, д. 67, корп. 1",4.2,Тульская,1200.0,14,8.9,nan
Отель Циркус,"Москва, Цветной Бульвар 24/1",2.0,Московский Цветной бульвар,106.0,1,9.1,3
Хостел Travel Inn Серпуховская,"Москва, Большая Серпуховская, 31 к6",3.4,Серпуховская,424.0,5,8.5,nan
D'отель на Щукинской,"Москва, ул. Щукинская, д. 2",10.6,Стрешнево,499.0,6,8.9,3
Мини-отель На Новослободской,"Москва, Ulitsa Dolgorukovskaya 35",3.0,Новослободская,170.0,2,9.6,nan
Хостел Nice hostel Маяковская,"Москва, Красина пер., д. 15, стр. 1",2.7,Маяковская,786.0,9,8.5,nan
Апарт-отель На Высоте,"Москва, Ulitsa Mosfilmovskaya, 74b",8.6,Ломоносовский проспект,853.0,10,9.4,4
Мини-отель Остоженка 47,"Москва, ул. Остоженка, д. 47",2.3,Парк Культуры,214.0,3,9.6,nan
Хостел Трэвел Инн на Авиамоторной,"Москва, ул. Энергетическая, д. 12, корп. 1",5.5,Лефортово,597.0,7,8.7,1
Гостиница Дуэт-Отель,"Москва, ул. Академика Миллионщикова, д. 35, стр. 4",10.4,Каширская,716.0,9,9.3,nan
Мини-отель Фортуна,"Москва, ул. Митинская, д. 48, корп. 1",19.7,Пятницкое шоссе,521.0,6,8.9,3
Апартаменты Современные апартаменты у Кремля и Красной Площади,"Россия, Москва, Камергерский переулок, 2",0.8,Театральная,293.0,4,9.6,nan
Гостиница Фарфалле,"Москва, ул. Большая Семёновская, д. 43/2",6.6,Семеновская,446.0,5,9.6,3
Мини-гостиница Стромынка,"Москва, ул. Стромынка, д. 11",6.4,Сокольники,949.0,11,9.1,nan
Мини-отель на Маросейке,"Москва, Малый Златоустинский переулок, 2",1.0,Китай,263.0,3,9.3,nan
Мини-отель Бегемот Маяковская,"Москва, 7 Ulitsa Krasina, building 3",2.5,Маяковская,574.0,7,9.4,3
KENSINGTON HOTEL (Кенсингтон отель),"Москва, пер. Лебяжий, д. 8/4, стр.1, А/Я 120",1.0,Боровицкая,361.0,4,9.3,3
База отдыха Солнечный залив,"Московская обл., д. Ульянково",27.0,Медведково,11800.0,142,nan,nan
V Hotel,"Москва, ул. Садовая-Кудринская, д. 9, корп. 3",2.3,Баррикадная,347.0,4,9.6,4
Академ-Хостел,"Москва, ул. Шверника, д. 16, корп. 1",7.4,Крымская,897.0,11,8.9,nan
Хостел Тревел Инн,"Москва, пер. Октябрьский, д. 23",3.9,Марьина Роща,716.0,9,8.1,nan
Хостел Вежливый Лось Home Boxes на Кутузовской,"Москва, ул. Студенческая, д. 32",5.0,Студенческая,357.0,4,8.9,nan
Отель Crystal на Таганке,"Москва, ул. Александра Солженицына, д. 31 стр. 1",3.1,Марксистская,844.0,10,10.0,nan
Хостел All Bears Hostel,"Москва, ул. Большая Андроньевская, д. 25/33",3.6,Римская,875.0,11,8.9,1
Отель Бега,"Москва, ул. Беговая аллея, д. 11",4.7,Динамо,1000.0,12,9.3,4
Отель Абсалют Измайлово Альфа,"Москва, Измайловское ш., д. 71а",9.1,Партизанская,161.0,2,9.4,4
Отель Руссо Туристо,"Москва, ул. Авиамоторная, д. 51а, стр. 2",6.4,Авиамоторная,694.0,8,9.3,3
Апарт-отель Knokey Парк Легенд,"Москва, ул. Автозаводская, д. 23Бк2",6.2,ЗИЛ,446.0,5,9.1,nan
Отель Бомонд,"Москва, ул. Орджоникидзе, д.5 корп. 2",5.1,Ленинский Проспект,856.0,10,nan,3
Хостел Вежливый Лось на Семеновской,"Москва, ул. Большая Семеновская, д. 43",6.6,Семеновская,445.0,5,8.3,nan
Хостел Три Вокзала,"Москва, ул. Новая Басманная, д. 10, стр. 1, подьезд 6, этаж 3",2.9,Красные Ворота,479.0,6,8.9,nan
Хостел CHEERS Capsule Place,"Москва, пер. Малый Кисловский, д. 7с1",1.1,Арбатская,391.0,5,7.2,nan
Хостелы Рус - Чистые Пруды,"Москва, Архангельский переулок, 11/16, строение 3",1.4,Чистые Пруды,329.0,4,7.9,nan
БельЭтаж Hostel,"Москва, ул. Старая Басманная, д. 36, корп. 2, 2 подъед, 4 этаж",3.5,Бауманская,715.0,9,9.4,1
Гостиница Абсалют Измайлово Дельта,"Москва, Измайловское ш., д. 71, корп. Г-Д",9.1,Партизанская,377.0,5,9.3,3
Мини-отель На Автозаводской,"Москва, ул. Трофимова, д. 25/1",6.7,Кожуховская,562.0,7,9.4,3
Отель Хорошов,"Москва, Хорошевское ш., д. 17",6.0,Беговая,837.0,10,9.4,3
Хостел Рус-Ленинская Слобода,"Москва, 1-й Кожуховский пр-д, д. 1/7, 1 этаж, пом. 6",6.0,Автозаводская,193.0,2,8.5,nan
Капсульный отель Sigale,"Россия, Москва, Большая Никитская улица, 22/2",1.1,Арбатская,566.0,7,nan,nan
Отель Barista Bed&Breakfast,"Москва, пер. Подсосенский, д. 14, стр. 1",2.0,Чкаловская,559.0,7,8.9,nan
Гостиница Измайлово Гамма Sky Hotel Group,"Москва, Измайловское ш., д. 71, корп. 4г",9.1,Партизанская,336.0,4,9.8,3
Отель Измайлово Дельта СБР Ника,"Москва, ш. Измайловское, д. 71к4Г-Д",9.2,Партизанская,499.0,6,10.0,4
Хостелы Рус - Коломенская,"Москва, Коломенский пр-д, д. 21, подъезд 3",9.8,Коломенская,1300.0,15,9.1,nan
Myhotel24 Voikovskaya,"Москва, 1-й Войковский проезд, д.16 корп.1",10.7,Стрешнево,376.0,5,7.4,2
Мини-отель Arthoff,"Москва, Большая Почтовая ул., д. 34 стр. 4А",5.7,Электрозаводская,521.0,6,9.4,3
Отель Зима-Лето,"Москва, Старопименовский пер., д. 11, стр. 3",2.2,Маяковская,415.0,5,9.1,3
Апарт-отель Hills Hotel,"Москва, ул. Улофа Пальме, д. 1а",8.0,Ломоносовский проспект,1100.0,13,8.5,3
Отель Ключевой Элемент,"Москва, ул. Большая Никитская, д. 24/1, стр. 5",1.2,Арбатская,605.0,7,9.3,3
Отель Везендорф на Алексеевской,"Москва, ул. Павла Корчагина, д. 8",7.1,ВДНХ,1400.0,16,10.0,3
Хостел Ель,"Москва, б-р Чистопрудный, д. 21",1.8,Чистые Пруды,642.0,8,8.7,nan
Гостиница Hotel Pokrovka-48,"Москва, ул. Покровка, д. 48, стр. 1",2.4,Курская,626.0,8,8.9,1
Апарт-отель Ханой-Москва,"Москва, Ярославское шоссе, 146, корпус 2",15.6,Бабушкинская,4200.0,51,9.3,4
Сити Отель,"Москва, пр. Волгоградский, д. 42, корп. 16",8.5,Текстильщики,646.0,8,8.7,3
Хостел Лайфхакер,"Москва, Варшавское ш., д. 16, корп. 1, 1 этаж, пом. 6-7",6.7,Верхние Котлы,397.0,5,9.6,1
Мини-отель Мегаполис,"пер. Малый Златоустинский, д. 2",1.0,Китай,205.0,2,9.8,nan
Хостел Старт на Вишнёвой,"Москва, ул. Вишневая, д. 13а",14.1,Тушинская,995.0,12,8.7,nan
Отель Room Room,"Москва, Братеевская улица 18к5",16.5,Алма,291.0,4,nan,nan
Круиз Румянцево,"Москва,  4-я Улица 210 , территория СНТ Круиз",16.9,Румянцево,1200.0,15,8.3,3
Хостел Буран,"Москва, Наставнический пер., д. 18/11",2.9,Чкаловская,806.0,10,9.6,nan
Гостиница Абсалют Измайлово ВЕГА,"Москва, Измайловское ш., д. 71, стр. 8",9.0,Измайлово,279.0,3,9.4,4
Гостиница День и Ночь на Мичуринском,"Москва, пр. Мичуринский, д. 29, корп. 1",9.9,Раменки,150.0,2,8.7,nan
Хостел Weekendsleep Лермонтовский Проспект,"Москва, б-р Жулебинский, д. 14",15.8,Лермонтовский проспект,421.0,5,7.2,nan
Хостел Travel Inn Преображенская,"Москва, ул. 9-я Рот, д. 16, стр. 2",7.3,Преображенская Площадь,343.0,4,7.2,nan
Хостел Stalker Sokolniki,"Москва, ул. Стромынка, д. 11",6.4,Сокольники,976.0,12,8.5,nan
Хостел M&D,"Москва, ул. Островитянова, 9к3",14.3,Тропарево,1600.0,20,nan,nan
Апартаменты JackPot Energy Hotel,"Москва, пер. Грохольский, д. 32, стр. 2",3.0,Проспект Мира,808.0,10,9.3,nan
Отель Вымпел,"Москва, ул. Вельяминовская, д. 34",7.3,Семеновская,261.0,3,nan,2
Отель Гипноз на Цветном,"Москва, 5 Samotochnaya Ulitsa",2.4,Московский Цветной бульвар,436.0,5,9.1,3
Гостиница Делайт,"Москва, ул. Большие Каменщики, д. 3/2",2.7,Таганская,65.0,1,8.9,3
Хостел Артист на Старой Басманной,"Москва, ул. Старая Басманная, д. 18, стр. 13",3.1,Курская,835.0,10,8.7,nan
Гостиница Лось,"Москва, ул. Таймырская, д. 1",15.5,Медведково,2700.0,32,9.1,3
Отель Тайм,"Москва, ул. Судакова, д. 22/10",12.3,Люблино,653.0,8,10.0,nan
Хостел На Амурской,"Москва, ул. Амурская, д. 17",12.4,Щелковская,803.0,10,6.8,nan
Доходный Дом Якорь,"Москва, 5 строение 1 Потаповский переулок",1.6,Чистые Пруды,410.0,5,9.1,nan
Мини-отель Марианна Речной,"Москва, ул. Смольная, д. 37",14.8,Речной Вокзал,564.0,7,8.3,1
Хостел Свои люди,"Москва, ул. Угрешская, д. 12, стр. 1",6.5,Угрешская,442.0,5,6.8,nan
Мини-отель L&G,"Москва, Улица Столетова 7, корп.1",9.1,Ломоносовский проспект,905.0,11,9.1,nan
Отель Рихтер,"Москва, Улица Пятницкая, 42",1.8,Третьяковская,339.0,4,9.6,5
Гостиница Fortuna Inn Dobryninskaya,"Москва, ул. Люсиновская, д. 39, стр. 5",3.5,Серпуховская,495.0,6,7.9,nan
Мини-отель Ладомир,"Москва, ул. Русаковская, д. 28",5.5,Сокольники,197.0,2,8.7,nan
Гостиница Сретенская,"Москва, ул. Сретенка, д. 15",1.9,Сухаревская,341.0,4,9.1,4
Хостел Len Inn Lux,"Москва, пер. Духовской, д. 22а",5.3,Тульская,574.0,7,nan,nan
Хостел Илиан,"Москва, ул. 5-я Магистральная, д. 14, стр. 1",6.2,Полежаевская,778.0,9,8.9,nan
Отель ShelterZ Семеновская (2 этаж),"Россия, Москва, Большая Семёновская улица, 32с3",6.3,Электрозаводская,158.0,2,9.8,nan
Хостел 365,"Москва, ул. Болотниковская, д. 33, корп. 3",10.9,Каховская,837.0,10,8.5,nan
Мини-отель Апарт Отель Белорусская,"Россия, Москва, Большой Кондратьевский переулок, 6",3.1,Белорусская,492.0,6,8.5,nan
Отель Ольховка,"Москва, Ольховская улиц, д.45 строение 1",4.3,Красносельская,490.0,6,8.9,3
Хостел Caps Hotel на Остоженке,"ул. Остоженка, д. 7 стр. 1",1.7,Кропоткинская,251.0,3,nan,nan
Апарт-отель ЗилАрт,"Москва, б-р братьев Весниных, д. 2",6.2,ЗИЛ,578.0,7,nan,nan
Гостиница Учебный центр профсоюзов,"Москва, пос. Дубровский, Советская, д. 11",20.4,Аннино,2400.0,29,8.7,nan
Гостиница Myhotel24 Kristalin,"Москва, 64k5 Dmitrovskoye shosse",11.8,Верхние Лихоборы,267.0,3,9.4,2
Хостел Caps Hotel на Гагаринском,"Россия, Москва, Гагаринский переулок, 5с1",1.6,Кропоткинская,149.0,2,8.5,nan
Отель Gipnoz na Dmitrovke,"Москва, ул. Руставели, д. 1/2",6.9,Дмитровская,487.0,6,9.1,3
Хостел Travel Inn Первомайская,"Москва, ул. Средняя Первомайская, д. 28",12.7,Первомайская,609.0,7,8.3,nan
Хостел Радио,"Москва, наб. Академика Туполева, д. 15, корп. 24",3.8,Бауманская,1100.0,13,9.1,nan
Апарт-отель Axis.Moscow Island,"Москва, ул. Садовническая, д. 67, стр. 2",2.3,Таганская,728.0,9,8.9,3
Хостел Круассан на Академической,"Москва, ул. Дмитрия Ульянова, д. 37с3",8.0,Академическая,1000.0,12,8.7,nan
Мини-отель Панорама Сити,"Москва, наб. Пресненская, д. 6, стр. 2, этаж 48",5.0,Выставочная,226.0,3,9.1,3
KIGO Moscow City,"Москва, 12 Presnenskaya Naberezhnaya",5.2,Международная,313.0,4,10.0,nan
Хостел Вежливый Лось на Рязанском проспекте,"Москва, пр. Рязанский, д. 86/1, корп. 1",14.1,Юго,802.0,10,5.5,nan
Хостел У Башни,"Москва, ул. Академика Королева, д. 24",7.7,Фонвизинская,661.0,8,9.1,nan
Апарт-отель На Таганке,"Москва, ул. Николоямская, д. 38, стр. 1",2.5,Марксистская,677.0,8,9.4,5
Хостел Комфорт на Полярной,"Москва, ул. Полярная, д. 15, корп. 3",13.6,Бибирево,2000.0,24,9.1,nan
Гостиница БуддОтель Москва,"Москва, ул. Расковой, д. 24, стр. 4",4.7,Савеловская,950.0,11,8.9,3
Бутик-Отель Веллион Бауманский,"Москва, Волховский пер., д. 23/3, стр. 2",4.5,Бауманская,504.0,6,9.4,3
Отель Че,"Москва, Малая Дмитровка 29 стр 3",2.2,Маяковская,496.0,6,9.3,nan
Vincent Apart,"Москва, ул. Хромова, д. 3",7.9,Преображенская Площадь,502.0,6,10.0,nan
Отель Red Brick,"Москва, пер. Хохловский, д. 10, стр. 6",1.5,Китай,805.0,10,9.4,nan
Хостел Рус Кунцево,"Москва, ш. Рублевское, д. 14, стр. 1",11.7,Кунцевская,1200.0,15,7.0,nan
Апарт-отель Garden Embassy,"Москва, Ботанический переулок, 5",2.9,Проспект Мира,511.0,6,9.3,4
Отель Винтерфелл На Таганской площади,"Москва, Известковый пер., д. 5, стр. 2, этаж 2",2.5,Марксистская,357.0,4,8.7,nan
Хостел Бирюсинка,"Москва, ул. Бирюсинка, д. 1/18с1",12.2,Щелковская,1500.0,19,6.6,nan
Отель Джаз,"Москва, ул. Окская, д. 15",10.6,Окская,328.0,4,7.6,nan
Хостел Малинка,"Москва, ул. Народного Ополчения, д. 5к2",9.4,Хорошево,2300.0,27,8.7,nan
Отель GloryVell,"Москва, пер. Крапивенский, д. 2",1.4,Трубная,375.0,5,7.8,3
Хостел Рус - Багратион,"Москва, Кутузовский проспект, 22",4.4,Выставочная,464.0,6,8.9,nan
Спа-отель Mamaison All-Suites Spa Hotel,"Москва, Улица Покровка 40 стр.2",2.3,Курская,566.0,7,8.7,5
Гостевые комнаты Апельсин на Сретенском бульваре,"Москва, пер. Бобров, д. 2",1.5,Тургеневская,260.0,3,8.7,nan
Хостел Homestel,"ул Народная, д 8",2.6,Таганская,157.0,2,9.8,nan
Хостел Drop Inn,"Москва, ул. Каланчевская, д. 20, стр. 1",3.2,Комсомольская,547.0,7,9.3,2
Мини-отель Бурденко,"Москва, ул. 3-я Тверская-Ямская, д. 12",2.5,Маяковская,235.0,3,10.0,nan
Хостел Банан,"Москва, ул. Талалихина, д. 41с4",5.1,Волгоградский Проспект,400.0,5,nan,nan
Хостел HotelHot Бауманская,"Москва, ул. Спартаковская, д. 6, стр. 2",3.9,Бауманская,355.0,4,8.3,nan
Хостел Гай-дай,"Москва, ул. Ярославская, д. 8, корп. 7",7.3,ВДНХ,774.0,9,7.9,nan
Мини-отель КАННА,"Москва, ул. Чаянова, 12",2.9,Новослободская,529.0,6,9.6,nan
Хостелы Рус - на Пречистенке,"Москва, Sechenovskiy Pereulok, 8 stroyenie 3, floor 1",2.1,Кропоткинская,556.0,7,9.4,nan
Отель Роял-Зенит I,"Москва, ул. Таманская, д. 49б",12.0,Строгино,3100.0,37,9.3,4
Отель Шереметьевский,"Москва, ул. Вучетича, д. 32",7.9,Тимирязевская,1200.0,14,9.3,3
Апартаменты/квартиры Knokey Алексеевская,"Москва, ул. Новоалексеевская, д. 16к2",6.4,Алексеевская,526.0,6,4.4,nan
Комплекс Восход,"Москва, Алтуфьевское шоссе, д. 2",10.9,Владыкино,289.0,3,9.1,nan
Отель Sadovnicheskaya City Center,"Россия, Москва, Садовническая улица, 20с1",1.0,Новокузнецкая,487.0,6,nan,4
Отель Gipnoz na Aviamotornoy,"Москва, ш. Энтузиастов, д. 11а, стр. 3",5.9,Авиамоторная,244.0,3,9.4,3
Хостелы Рус - Черкизовская,"Москва, ул. Большая Черкизовская, д. 22к7",8.5,Измайлово,809.0,10,9.8,nan
Хостел Comfort park,"Москва, ул. Мира, д. 184, корп. 1",8.5,ВДНХ,844.0,10,8.5,nan
Отель Интурист Коломенское,"Москва, ш. Каширское, д. 39Б",12.3,Кантемировская,1600.0,20,9.1,4
Отель Малетон (Анохина),"Москва, ул. Академика Анохина, д. 11а",14.1,Юго,832.0,10,8.3,3
Гостиница Бонжур на Казакова,"Москва, ул. Казакова, д. 8-8а, стр. 2",2.7,Курская,489.0,6,8.5,3
Халва отель Полянка,"Москва, ул. Большая Полянка, д. 43/2",2.3,Полянка,370.0,4,8.9,2
Отель Комфорт на Дмитровке,"Москва, Дмитровское шоссе дом 90 корпус 1",13.9,Селигерская,664.0,8,8.5,2
Мини-отель Донской,"Москва, Бульвар Дмитрия Донского, д. 17а",21.4,Улица Старокачаловская,641.0,8,7.0,nan
Апарт-отель Knokey ВТБ Арена,"Москва, Ленинградский пр-т, д. 36с36",5.1,Динамо,662.0,8,8.5,nan
Хостел Артист на Курской,"Москва, ул. Старая Басманная, д. 18, стр. 8",3.0,Курская,834.0,10,8.9,nan
Хостел Город Патриаршие,"Москва, Улица Спиридоновка 16 строение 1",1.8,Баррикадная,776.0,9,8.7,nan
Мини-отель HAYAT,"Москва, ул. Краснодарская, д. 66",13.1,Люблино,775.0,9,nan,nan
Отель Revival,"Москва, ул. Петровка, д. 19, стр. 3",1.3,Чеховская,459.0,6,nan,3
Отель Таганка на Воронцовской,"Москва, ул. Марксистская, д. 34с2",3.4,Крестьянская застава,255.0,3,8.5,3
Хостел Шаболовка-Отель,"Москва, 5 ulitsa Shukhova",4.2,Шаболовская,570.0,7,8.7,nan
Отель Черемушки,"Москва, улица Вавилова, дом 64/1, строение 3",8.9,Профсоюзная,1000.0,13,8.5,3
Мини-отель Блохина,"Москва, 31 Ulitsa Akademika Millionshchikova",10.1,Каширская,938.0,11,9.4,nan
Мини-отель На Красноармейской,"Москва, ул. Красноармейская, д. 2к1",6.5,Петровский парк,687.0,8,10.0,nan
Мини-отель Dream Novoslobodskaya,"Москва, улица Новослободская 71",4.4,Савеловская,521.0,6,8.9,nan
Гостиница Султан Москва,"Россия, Москва, Электрический переулок, 3/10с23",3.5,Белорусская,676.0,8,7.9,3
Хостелы Круассан,"Москва, наб. Космодамианская, д. 40-42, стр. 3",2.4,Таганская,585.0,7,8.7,nan
Хостел Наполеон,"Москва, Малый Златоустинский пер., д. 2",1.0,Китай,207.0,2,7.8,nan
